reg,date,pm25,R,G,B,x,y
서울,2018-03-11,41,173,173,167,10,10
서울,2018-03-12,64,113,124,130,630,10
서울,2018-03-13,38,174,178,183,10,368
서울,2018-03-14,12,146,160,171,630,368
서울,2018-03-15,15,123,114,105,10,726
서울,2018-03-16,7,121,146,182,630,726
서울,2018-03-17,20,166,172,180,1250,10
서울,2018-03-18,46,196,200,206,1250,368
서울,2018-03-19,22,161,163,162,1250,726
서울,2018-03-20,8,202,216,236,10,1084
서울,2018-03-21,7,202,204,203,630,1084
서울,2018-03-22,27,136,149,178,1250,1084
서울,2018-03-23,50,173,179,189,10,1442
서울,2018-03-24,86,138,143,141,630,1442
서울,2018-03-25,99,184,174,161,1250,1442
서울,2018-03-26,71,139,152,168,1870,10
서울,2018-03-27,61,205,210,216,1870,368
서울,2018-03-28,37,201,205,215,1870,726
서울,2018-03-29,43,213,210,196,1870,1084
서울,2018-03-30,37,150,158,177,1870,1442
서울,2018-03-31,29,207,211,216,10,1800
서울,2018-04-01,36,190,201,210,630,1800
서울,2018-04-02,29,206,215,221,1250,1800
서울,2018-04-03,22,200,206,204,1870,1800
서울,2018-04-04,7,165,173,177,2490,10
서울,2018-04-05,5,230,225,228,2490,368
서울,2018-04-06,28,183,183,179,2490,726
서울,2018-04-07,22,,,,2490,1084
서울,2018-04-08,15,,,,2490,1442
서울,2018-04-09,27,160,166,172,2490,1800
서울,2018-04-10,20,172,185,201,10,2158
서울,2018-04-11,25,159,170,207,630,2158
서울,2018-04-12,15,229,237,246,1250,2158
서울,2018-04-13,14,224,228,231,1870,2158
서울,2018-04-14,12,157,167,175,2490,2158
서울,2018-04-15,22,211,217,222,10,2516
서울,2018-04-16,23,212,217,227,630,2516
서울,2018-04-17,31,176,176,173,1250,2516
서울,2018-04-18,35,142,148,154,1870,2516
서울,2018-04-19,41,178,175,170,2490,2516
서울,2018-04-20,57,161,158,155,3110,10
서울,2018-04-21,41,207,213,242,3110,368
서울,2018-04-22,21,235,230,234,3110,726
서울,2018-04-23,7,,,,3110,1084
서울,2018-04-24,6,243,241,236,3110,1442
서울,2018-04-25,25,179,183,189,3110,1800
서울,2018-04-26,32,152,162,172,3110,2158
서울,2018-04-27,42,,,,3110,2516
서울,2018-04-28,40,207,212,215,10,2874
서울,2018-04-29,33,201,206,211,630,2874
서울,2018-04-30,60,139,148,156,1250,2874
서울,2018-05-01,49,219,223,227,1870,2874
서울,2018-05-02,37,,,,2490,2874
서울,2018-05-03,15,130,140,151,3110,2874
서울,2018-05-04,18,,,,10,3232
서울,2018-05-05,20,208,203,200,630,3232
서울,2018-05-06,10,171,167,162,1250,3232
서울,2018-05-07,20,191,204,216,1870,3232
서울,2018-05-08,8,241,235,225,2490,3232
서울,2018-05-09,9,205,219,239,3110,3232
서울,2018-05-10,26,172,182,192,3730,10
서울,2018-05-11,41,138,151,158,3730,368
서울,2018-05-12,21,,,,3730,726
서울,2018-05-13,18,219,206,201,3730,1084
서울,2018-05-14,59,174,179,184,3730,1442
서울,2018-05-15,55,151,170,184,3730,1800
서울,2018-05-16,25,,,,3730,2158
서울,2018-05-17,10,187,178,171,3730,2516
서울,2018-05-18,6,201,203,202,3730,2874
서울,2018-05-19,5,144,178,209,3730,3232
서울,2018-05-20,6,212,218,225,10,3590
서울,2018-05-21,11,220,219,215,630,3590
서울,2018-05-22,25,220,219,215,1250,3590
서울,2018-05-23,12,118,151,190,1870,3590
서울,2018-05-24,27,191,203,216,2490,3590
서울,2018-05-25,36,202,204,218,3110,3590
서울,2018-05-26,41,167,179,189,3730,3590
서울,2018-05-27,29,,,,10,3948
서울,2018-05-28,27,214,198,183,630,3948
서울,2018-05-29,28,200,200,206,1250,3948
서울,2018-05-30,28,198,210,227,1870,3948
서울,2018-05-31,25,146,170,187,2490,3948
서울,2018-06-01,24,136,155,187,3110,3948
서울,2018-06-02,25,167,166,159,3730,3948
서울,2018-06-03,22,199,201,215,4350,10
서울,2018-06-04,28,236,236,242,4350,368
서울,2018-06-05,32,213,217,223,4350,726
서울,2018-06-06,36,165,172,187,4350,1084
서울,2018-06-07,34,170,165,160,4350,1442
서울,2018-06-08,24,224,212,201,4350,1800
서울,2018-06-09,26,198,201,205,4350,2158
서울,2018-06-10,5,210,201,185,4350,2516
서울,2018-06-11,5,,,,4350,2874
서울,2018-06-12,9,,,,4350,3232
서울,2018-06-13,21,230,231,234,4350,3590
서울,2018-06-14,22,176,173,170,4350,3948
서울,2018-06-15,7,154,174,205,10,4306
서울,2018-06-16,13,189,221,249,630,4306
서울,2018-06-17,38,202,199,196,1250,4306
서울,2018-06-18,32,171,182,193,1870,4306
서울,2018-06-19,30,231,229,219,2490,4306
서울,2018-06-20,32,183,179,176,3110,4306
서울,2018-06-21,27,144,171,195,3730,4306
서울,2018-06-22,29,202,223,238,4350,4306
서울,2018-06-23,25,212,208,203,4970,10
서울,2018-06-24,40,149,167,178,4970,368
서울,2018-06-25,39,211,223,231,4970,726
서울,2018-06-26,38,,,,4970,1084
서울,2018-06-27,21,205,211,216,4970,1442
서울,2018-06-28,16,225,231,243,4970,1800
서울,2018-06-29,29,199,205,208,4970,2158
서울,2018-06-30,37,253,253,252,4970,2516
서울,2018-07-01,7,245,242,241,4970,2874
서울,2018-07-02,7,227,221,215,4970,3232
서울,2018-07-03,8,208,220,231,4970,3590
서울,2018-07-04,13,164,180,184,4970,3948
서울,2018-07-05,15,247,247,241,4970,4306
서울,2018-07-06,3,246,242,238,10,4664
서울,2018-07-07,4,200,212,231,630,4664
서울,2018-07-08,6,138,169,203,1250,4664
서울,2018-07-09,5,218,214,216,1870,4664
서울,2018-07-10,13,219,209,191,2490,4664
서울,2018-07-11,19,164,171,167,3110,4664
서울,2018-07-12,16,162,170,174,3730,4664
서울,2018-07-13,14,240,237,235,4350,4664
서울,2018-07-14,13,142,153,172,4970,4664
서울,2018-07-15,16,192,177,165,10,5022
서울,2018-07-16,18,229,217,211,630,5022
서울,2018-07-17,22,223,208,201,1250,5022
서울,2018-07-18,26,175,179,187,1870,5022
서울,2018-07-19,22,182,180,189,2490,5022
서울,2018-07-20,25,156,165,169,3110,5022
서울,2018-07-21,27,220,204,200,3730,5022
서울,2018-07-22,21,192,201,210,4350,5022
서울,2018-07-23,20,209,213,199,4970,5022
서울,2018-07-24,29,200,213,220,5590,10
서울,2018-07-25,21,223,220,214,5590,368
서울,2018-07-26,28,211,212,218,5590,726
서울,2018-07-27,33,162,166,170,5590,1084
서울,2018-07-28,28,207,218,222,5590,1442
서울,2018-07-29,13,231,220,229,5590,1800
서울,2018-07-30,6,236,231,228,5590,2158
서울,2018-07-31,11,231,222,214,5590,2516
서울,2018-08-01,21,148,180,217,5590,2874
서울,2018-08-02,28,196,199,213,5590,3232
서울,2018-08-03,33,207,197,192,5590,3590
서울,2018-08-04,18,216,207,202,5590,3948
서울,2018-08-05,17,196,212,227,5590,4306
서울,2018-08-06,21,227,235,248,5590,4664
서울,2018-08-07,13,218,215,206,5590,5022
서울,2018-08-08,18,142,171,204,10,5380
서울,2018-08-09,18,226,207,193,630,5380
서울,2018-08-10,10,208,220,233,1250,5380
서울,2018-08-11,6,191,205,225,1870,5380
서울,2018-08-12,11,143,167,196,2490,5380
서울,2018-08-13,23,205,209,220,3110,5380
서울,2018-08-14,19,168,179,187,3730,5380
서울,2018-08-15,20,162,171,178,4350,5380
서울,2018-08-16,9,205,214,228,4970,5380
서울,2018-08-17,6,127,163,208,5590,5380
서울,2018-08-18,7,183,206,233,10,5738
서울,2018-08-19,13,171,185,189,630,5738
서울,2018-08-20,22,232,231,217,1250,5738
서울,2018-08-21,13,202,210,228,1870,5738
서울,2018-08-22,15,233,220,209,2490,5738
서울,2018-08-23,7,,,,3110,5738
서울,2018-08-24,5,,,,3730,5738
서울,2018-08-25,13,159,170,179,4350,5738
